id,user_id,viewed_user_id,"created_at"
6997,10056,2202188,"2014-01-01 12:11:09"
3177,10112,116842,"2014-01-01 18:56:17"
4534,10126,1959444,"2014-01-01 02:31:26"
9207,10298,728722,"2014-01-01 12:22:53"
6477,10324,586110,"2014-01-01 09:18:52"
661,10354,3687012,"2014-01-01 04:52:14"
10322,10372,805586,"2014-01-01 02:36:04"
10248,10378,1606028,"2014-01-01 02:10:14"
5736,10445,2584479,"2014-01-01 05:11:59"
1994,10482,1740253,"2014-01-01 12:23:45"
3773,10530,1646860,"2014-01-01 22:12:09"
3412,10591,3253928,"2014-01-01 20:12:20"
9774,10859,735094,"2014-01-01 15:31:32"
2714,10870,2644031,"2014-01-01 16:27:12"
6451,10897,2603345,"2014-01-01 09:08:57"
8276,10975,2431832,"2014-01-01 07:18:10"
8974,11038,1810471,"2014-01-01 11:06:00"
1036,11126,4207723,"2014-01-01 06:57:24"
7579,11182,1011609,"2014-01-01 03:29:52"
9615,11347,124939,"2014-01-01 14:37:35"
2086,11355,2460133,"2014-01-01 12:55:46"
1293,11401,761620,"2014-01-01 08:23:59"
240,11535,1973500,"2014-01-01 02:35:18"
4142,11675,875608,"2014-01-02 00:18:37"
4856,11796,578726,"2014-01-01 04:18:53"
7357,11828,3664964,"2014-01-01 02:17:53"
10376,11833,2107266,"2014-01-01 02:51:56"
10616,11940,1366550,"2014-01-01 04:09:56"
3484,14217,1740253,"2014-01-01 20:35:40"
3730,14229,657875,"2014-01-01 21:57:22"
1625,14232,1740253,"2014-01-01 10:17:14"
3857,14368,437111,"2014-01-01 22:40:42"
1384,14486,2922372,"2014-01-01 08:54:08"
1379,14753,1740253,"2014-01-01 08:52:41"
588,14754,1802365,"2014-01-01 04:26:09"
3210,14840,4259409,"2014-01-01 19:06:01"
7923,14847,2863929,"2014-01-01 05:22:01"
1886,14911,1740253,"2014-01-01 11:48:25"
2348,14944,2460278,"2014-01-01 14:21:14"
4032,17246,2185215,"2014-01-01 23:36:28"
1391,17258,3251040,"2014-01-01 08:56:23"
6429,17384,1044621,"2014-01-01 09:02:06"
10266,17386,2297942,"2014-01-01 02:16:23"
5198,17431,2152630,"2014-01-01 02:07:11"
2441,17549,1740253,"2014-01-01 14:54:03"
5223,17607,784369,"2014-01-01 02:15:08"
7831,17672,1028634,"2014-01-01 04:50:53"
5770,17811,1191892,"2014-01-01 05:22:55"
2989,18104,2712033,"2014-01-01 17:56:25"
8898,18180,1734619,"2014-01-01 10:42:31"
6262,18233,524378,"2014-01-01 08:10:04"
10446,18295,1570078,"2014-01-01 03:13:59"
9222,20572,79684,"2014-01-01 12:26:22"
438,22806,4192908,"2014-01-01 03:36:02"
8084,22999,1513610,"2014-01-01 06:14:45"
2985,23153,2202170,"2014-01-01 17:55:04"
